"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image","IOI","normIOI","Interval","Subcomponent","Grouping"
13,40,9803,72,86,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",233,0.932,12,"Forte","performing-dynamics"
14,42,10034,76,83,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",231,0.924,13,"Forte","performing-dynamics"
15,44,10271,79,81,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",237,0.948,14,"Forte","performing-dynamics"
16,47,10511,84,79,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",240,0.96,15,"Forte","performing-dynamics"
18,51,11100,81,63,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",265,1.06,17,"FtoP","performing-dynamics"
19,53,11353,81,63,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",253,1.012,18,"Piano","performing-dynamics"
20,55,11598,81,67,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",245,0.98,19,"Piano","performing-dynamics"
21,57,11823,83,98,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",225,0.9,20,"PtoF","performing-dynamics"
22,58,12059,81,99,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",236,0.944,21,"Forte","performing-dynamics"
23,61,12298,84,77,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",239,0.956,22,"Forte","performing-dynamics"
24,64,12531,81,93,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",233,0.932,23,"Forte","performing-dynamics"
25,66,12757,78,90,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",226,0.904,24,"Forte","performing-dynamics"
30,77,14992,77,52,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",262,1.048,29,"Piano","performing-dynamics"
31,79,15214,76,52,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",222,0.888,30,"Piano","performing-dynamics"
32,81,15458,76,53,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",244,0.976,31,"Piano","performing-dynamics"
37,91,17875,76,62,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",249,0.996,36,"Piano","performing-dynamics"
38,93,18125,76,60,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",250,1,37,"Piano","performing-dynamics"
39,95,18346,76,67,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",221,0.884,38,"Piano","performing-dynamics"
40,97,18584,81,87,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",238,0.952,39,"PtoF","performing-dynamics"
