NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,RowNr
148,22605,64,75,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,60
150,22785,62,82,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,61
152,22968,60,81,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,62
154,23182,62,85,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,63
156,23375,64,82,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,64
158,23568,65,82,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,65
160,23792,67,84,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,66
162,25385,60,59,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,67
17,8956,60,60,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,1
18,9151,62,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,2
20,9340,64,73,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,3
22,9513,65,74,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,4
24,9696,67,82,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,5
26,9860,65,76,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,6
28,10051,64,74,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,7
30,10218,62,74,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,8
33,10409,60,65,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,9
35,10578,62,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,10
37,10751,64,71,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,11
39,10918,65,79,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,12
41,11090,67,84,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,13
43,11270,65,75,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,14
45,11438,64,70,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,15
47,11610,62,66,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,16
49,11784,60,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,17
50,11953,62,72,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,18
52,12139,64,74,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,19
55,12316,65,75,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,20
56,12481,67,80,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,21
58,12651,65,71,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,22
60,12839,64,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,23
63,13006,62,68,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,24
65,13205,60,62,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,25
67,13373,62,71,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,26
69,13556,64,72,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,27
71,13717,65,79,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,28
73,13906,67,75,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,29
75,14071,65,78,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,30
77,14245,64,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,31
79,14422,62,74,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,32
81,14641,60,67,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,33
83,17588,67,68,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,34
85,17779,65,64,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,35
87,17941,64,61,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,36
